date,nav
2024-11-29,1.0975
2024-12-02,1.0985
2024-12-03,1.0985
2024-12-04,1.0989
2024-12-05,1.0991
2024-12-06,1.0991
2024-12-09,1.0993
2024-12-10,1.1004
2024-12-11,1.1004
2024-12-12,1.1006
2024-12-13,1.1014
2024-12-16,1.1021
2024-12-17,1.1019
2024-12-18,1.1015
2024-12-19,1.1014
2024-12-20,1.1021
2024-12-23,1.1025
2024-12-24,1.1022
2024-12-25,1.1021
2024-12-26,1.1021
2024-12-27,1.1027
2024-12-30,1.1028
2024-12-31,1.1034
2025-01-02,1.1041
2025-01-03,1.1043
2025-01-06,1.1044
2025-01-07,1.1042
2025-01-08,1.1042
2025-01-09,1.104
2025-01-10,1.1039
2025-01-13,1.1037
2025-01-14,1.1038
2025-01-15,1.1039
2025-01-16,1.1036
2025-01-17,1.1036
2025-01-20,1.1035
2025-01-21,1.1036
2025-01-22,1.1038
2025-01-23,1.1036
2025-01-24,1.1036
2025-01-27,1.1043
2025-02-05,1.1049
2025-02-06,1.1052
2025-02-07,1.1053
2025-02-10,1.1053
2025-02-11,1.1052
2025-02-12,1.1052
2025-02-13,1.1052
2025-02-14,1.105
2025-02-17,1.1048
2025-02-18,1.1045
2025-02-19,1.1046
2025-02-20,1.1044
2025-02-21,1.1041
2025-02-24,1.1038
2025-02-25,1.1038
2025-02-26,1.1038
2025-02-27,1.1037
2025-02-28,1.1038
2025-03-03,1.1041
2025-03-04,1.1042
2025-03-05,1.1043
2025-03-06,1.1042
2025-03-07,1.1039
